zip,population,borough,pct_hispanic_or_latino,pct_asian,pct_american_indian_and_alaska_native,pct_black_or_african_american,pct_white,pct_native_hawaiian_and_other_pacific_islander,pct_some_other_race,pct_two_or_more_races,pct_below_poverty
10033,58349,MANHATTAN,67.05,2.2,0,3.89,25.16,0,0.35,1.35,17.62
10009,58293,MANHATTAN,23.79,14.07,0.07,7.81,51.57,0.02,0.07,2.62,23.54
10024,58102,MANHATTAN,10.7,7.95,0,3.21,76.18,0,0.11,1.85,7.4
11216,57786,BROOKLYN,11.22,5.23,0.06,51.38,28.36,0,0.38,3.38,16.98
11225,56859,BROOKLYN,9.36,2.77,0.11,58.55,25.94,0,0.9,2.38,17.25
11238,55210,BROOKLYN,10.9,5.91,0.06,31.95,45.73,0.02,0.75,4.68,11.89
10003,53977,MANHATTAN,8.45,14.46,0.09,5.51,69.13,0.14,0.29,1.93,9.2
10306,53877,STATEN ISLAND,15.59,7.18,0.05,3.07,72.06,0,0.17,1.87,9.24
11354,53684,QUEENS,14.9,63.88,0.09,2.9,15.85,0.01,0.72,1.64,19.84
10016,52886,MANHATTAN,8.16,20.08,0.09,3.47,65.25,0,0.74,2.21,8.2
10011,49949,MANHATTAN,11.93,8.78,0,3.84,72.38,0.01,0.4,2.66,9.92
10461,49690,BRONX,48.16,11.74,0.13,7.52,30.72,0.11,0.36,1.24,15.38
11237,48876,BROOKLYN,63.54,6.75,0.26,7.92,19.38,0.02,0.31,1.81,29.09
10459,48780,BRONX,68.82,0.55,0.18,27.96,1.73,0,0.24,0.54,33.55
11419,48369,QUEENS,18.83,33.98,0.76,15.07,4.02,0.07,22.04,5.23,11.51
10451,48136,BRONX,60.69,1.36,0.1,33.16,3.31,0,0.48,0.9,36.13
11420,47470,QUEENS,25.01,32.57,0.88,23.85,5.03,0.25,7.57,4.85,10.76
11205,46843,BROOKLYN,17.38,6.33,0.31,28.44,44.29,0.01,0.67,2.57,27.67
10028,46768,MANHATTAN,6.91,9.64,0,1.02,80.94,0,0,1.48,5.3
11224,45795,BROOKLYN,18.79,7.43,0.16,20.6,50.82,0.01,0,2.18,28.12
10019,45498,MANHATTAN,16.28,19.01,0.16,5.54,55.29,0.1,1,2.62,12.8
10040,44800,MANHATTAN,68.74,2.75,0.07,4.47,22.22,0,0.46,1.29,21.04
11365,44738,QUEENS,20.44,44.14,0.25,8.15,23.99,0.03,0.96,2.03,12.24
11228,44348,BROOKLYN,12.42,37.12,0.08,1.04,47.88,0.08,0.15,1.22,12.07
10021,44280,MANHATTAN,6.89,8.54,0.38,0.28,81.38,0.14,0.07,2.31,5.21
